Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100,1.0479e-13,1,7.6657e+12,0.48346,0.47473,0.47638,2.94e-14,-13,0.25,0.48346,9.5426e+12,1,-2.2201e-13,0,1.8769e+12,0.48346,0.52527,0.52362,1,0.63,0.63,0,0
100,1.057e-13,1,7.56e+12,0.47298,0.47145,0.47309,2.94e-14,-13,0.25,0.47298,9.4605e+12,1,-2.8823e-13,0,1.9004e+12,0.47298,0.52855,0.52691,1,0.64,0.64,0,0
100,1.0662e-13,1,7.4555e+12,0.46241,0.46818,0.46981,2.94e-14,-13,0.25,0.46241,9.3795e+12,1,-1.0336e-13,0,1.924e+12,0.46241,0.53182,0.53019,1,0.65,0.65,0,0
100,1.0753e-13,1,7.3519e+12,0.45175,0.46492,0.46655,2.94e-14,-13,0.25,0.45175,9.2996e+12,1,2.4218e-14,0,1.9477e+12,0.45175,0.53508,0.53345,1,0.66,0.66,0,0
100,1.0845e-13,1,7.2493e+12,0.441,0.46166,0.46329,2.94e-14,-13,0.25,0.441,9.2208e+12,1,1.7941e-13,0,1.9715e+12,0.441,0.53834,0.53671,1,0.67,0.67,0,0
100,1.0938e-13,1,7.1474e+12,0.43015,0.4584,0.46003,2.94e-14,-13,0.25,0.43015,9.1428e+12,1,-2.4261e-13,0,1.9954e+12,0.43015,0.5416,0.53997,1,0.68,0.68,0,0
100,1.1031e-13,1,7.0463e+12,0.41921,0.45515,0.45678,2.94e-14,-13,0.25,0.41921,9.0657e+12,1,-2.6458e-13,0,2.0195e+12,0.41921,0.54485,0.54322,1,0.69,0.69,0,0
100,1.1124e-13,1,6.9458e+12,0.40818,0.45189,0.45352,2.94e-14,-13,0.25,0.40818,8.9895e+12,1,-9.9559e-14,0,2.0437e+12,0.40818,0.54811,0.54648,1,0.7,0.7,0,0
100,1.1218e-13,1,6.846e+12,0.39706,0.44863,0.45026,2.94e-14,-13,0.25,0.39706,8.9141e+12,1,3.2265e-13,0,2.0681e+12,0.39706,0.55137,0.54974,1,0.71,0.71,0,0
100,1.1313e-13,1,6.7466e+12,0.38584,0.44537,0.447,2.94e-14,-13,0.25,0.38584,8.8393e+12,1,-1.7198e-13,0,2.0927e+12,0.38584,0.55463,0.553,1,0.72,0.72,0,0
100,1.1409e-13,1,6.6473e+12,0.37453,0.44208,0.44372,2.94e-14,-13,0.25,0.37453,8.7649e+12,1,4.8737e-13,0,2.1175e+12,0.37453,0.55792,0.55628,1,0.73,0.73,0,0
100,1.1507e-13,1,6.5479e+12,0.36312,0.43876,0.44041,2.94e-14,-13,0.25,0.36312,8.6907e+12,1,3.3818e-13,0,2.1428e+12,0.36312,0.56124,0.55959,1,0.74,0.74,0,0
100,1.1606e-13,1,6.4478e+12,0.35161,0.43539,0.43706,2.94e-14,-13,0.25,0.35161,8.6164e+12,1,7.1716e-14,0,2.1686e+12,0.35161,0.56461,0.56294,1,0.75,0.75,0,0
100,1.1708e-13,1,6.3464e+12,0.34,0.43195,0.43366,2.94e-14,-13,0.25,0.34,8.5415e+12,1,1.2109e-14,0,2.1951e+12,0.34,0.56805,0.56634,1,0.76,0.76,0,0
100,1.1813e-13,1,6.2429e+12,0.3283,0.42842,0.43016,2.94e-14,-13,0.25,0.3283,8.4654e+12,1,1.5263e-13,0,2.2225e+12,0.3283,0.57158,0.56984,1,0.77,0.77,0,0
100,1.1923e-13,1,6.1361e+12,0.31648,0.42474,0.42655,2.94e-14,-13,0.25,0.31648,8.3873e+12,1,-1.8746e-13,0,2.2512e+12,0.31648,0.57526,0.57345,1,0.78,0.78,0,0
100,1.204e-13,1,6.0242e+12,0.30455,0.42084,0.42275,2.94e-14,-13,0.25,0.30455,8.3059e+12,1,-1.6169e-13,0,2.2818e+12,0.30455,0.57916,0.57725,1,0.79,0.79,0,0
100,1.2166e-13,1,5.9042e+12,0.29251,0.41663,0.41867,2.94e-14,-13,0.25,0.29251,8.2193e+12,1,5.5808e-14,0,2.3151e+12,0.29251,0.58337,0.58133,1,0.8,0.8,0,0
