"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14838,0.83542,1e-12,0.042391,0.67771,0.2799,1.4111e-05,0,0,2.0938e-06,0,0,1.1789e-05,0,0,2.2862e-07,0,0,0.25,0.00092623,0.52149,0.050566,75971,1,0.34498,0.34498,0.005,0.005
0.14836,0.83544,1e-12,0.042387,0.67772,0.2799,1.4111e-05,0,0,2.0934e-06,0,0,1.1789e-05,0,0,2.2862e-07,0,0,0.25,0.00092607,0.5215,0.050566,75888,1,0.34865,0.34865,0.005,0.005
0.14832,0.83548,1e-12,0.042382,0.67772,0.2799,1.4111e-05,0,0,2.0929e-06,0,0,1.1789e-05,0,0,2.2863e-07,0,0,0.25,0.00092579,0.52151,0.050566,75805,1,0.35232,0.35232,0.005,0.005
0.14827,0.83553,1e-12,0.042377,0.67773,0.27989,1.4111e-05,0,0,2.0922e-06,0,0,1.179e-05,0,0,2.2863e-07,0,0,0.25,0.00092547,0.52152,0.050565,75722,1,0.35599,0.35599,0.005,0.005
0.14822,0.83557,1e-12,0.042373,0.67773,0.27989,1.4111e-05,0,0,2.0916e-06,0,0,1.1791e-05,0,0,2.2863e-07,0,0,0.25,0.00092515,0.52153,0.050565,75639,1,0.35966,0.35966,0.005,0.005
0.14818,0.83562,1e-12,0.042368,0.67774,0.27989,1.4111e-05,0,0,2.091e-06,0,0,1.1791e-05,0,0,2.2864e-07,0,0,0.25,0.00092483,0.52154,0.050564,75556,1,0.36333,0.36333,0.005,0.005
0.14813,0.83566,1e-12,0.042363,0.67775,0.27989,1.4111e-05,0,0,2.0903e-06,0,0,1.1792e-05,0,0,2.2864e-07,0,0,0.25,0.00092453,0.52155,0.050563,75473,1,0.367,0.367,0.005,0.005
0.14809,0.8357,1e-12,0.042358,0.67775,0.27989,1.4111e-05,0,0,2.0898e-06,0,0,1.1793e-05,0,0,2.2865e-07,0,0,0.25,0.00092425,0.52156,0.050563,75390,1,0.37067,0.37067,0.005,0.005
0.14806,0.83574,1e-12,0.042353,0.67776,0.27989,1.4111e-05,0,0,2.0892e-06,0,0,1.1793e-05,0,0,2.2865e-07,0,0,0.25,0.00092399,0.52157,0.050563,75307,1,0.37434,0.37434,0.005,0.005
0.14802,0.83577,1e-12,0.042348,0.67776,0.27989,1.4111e-05,0,0,2.0887e-06,0,0,1.1794e-05,0,0,2.2866e-07,0,0,0.25,0.00092375,0.52158,0.050563,75224,1,0.37801,0.37801,0.005,0.005
0.14799,0.83581,1e-12,0.042343,0.67777,0.27989,1.4111e-05,0,0,2.0883e-06,0,0,1.1794e-05,0,0,2.2866e-07,0,0,0.25,0.00092354,0.52159,0.050563,75141,1,0.38168,0.38168,0.005,0.005
0.14796,0.83583,1e-12,0.042339,0.67777,0.27989,1.4111e-05,0,0,2.0879e-06,0,0,1.1794e-05,0,0,2.2867e-07,0,0,0.25,0.00092334,0.5216,0.050563,75058,1,0.38535,0.38535,0.005,0.005
0.14794,0.83586,1e-12,0.042335,0.67778,0.27989,1.4111e-05,0,0,2.0875e-06,0,0,1.1795e-05,0,0,2.2867e-07,0,0,0.25,0.00092317,0.5216,0.050563,74975,1,0.38902,0.38902,0.005,0.005
0.14791,0.83588,1e-12,0.042331,0.67778,0.27989,1.4111e-05,0,0,2.0872e-06,0,0,1.1795e-05,0,0,2.2867e-07,0,0,0.25,0.00092301,0.52161,0.050563,74892,1,0.39269,0.39269,0.005,0.005
0.14789,0.8359,1e-12,0.042327,0.67778,0.27989,1.4111e-05,0,0,2.0869e-06,0,0,1.1795e-05,0,0,2.2868e-07,0,0,0.25,0.00092288,0.52162,0.050563,74809,1,0.39636,0.39636,0.005,0.005
0.14788,0.83592,1e-12,0.042324,0.67779,0.27989,1.4111e-05,0,0,2.0867e-06,0,0,1.1796e-05,0,0,2.2868e-07,0,0,0.25,0.00092276,0.52162,0.050563,74726,1,0.40003,0.40003,0.005,0.005
