TimeStep,CellID,qw,qo
109400,1224,4.5119e-12,4
109425,1224,7.24977e-12,4
109450,1224,1.15945e-11,4
109475,1224,1.8452e-11,4
109500,1224,2.92159e-11,4
109525,1224,4.60184e-11,4
109550,1224,7.2101e-11,4
109575,1224,1.12363e-10,4
109600,1224,1.74168e-10,4
109625,1224,2.68512e-10,4
109650,1224,4.11725e-10,4
109675,1224,6.27919e-10,4
109700,1224,9.52482e-10,4
109725,1224,1.43706e-09,4
109750,1224,2.15657e-09,4
109775,1224,3.21911e-09,4
109800,1224,4.77974e-09,4
109825,1224,7.05957e-09,4
109850,1224,1.03722e-08,4
109875,1224,1.51599e-08,4
109900,1224,2.20428e-08,4
109925,1224,3.18856e-08,4
109950,1224,4.58874e-08,4
109975,1224,6.57018e-08,4
110000,1224,9.35965e-08,4
110025,1224,1.32664e-07,4
110050,1224,1.87099e-07,4
110075,1224,2.62561e-07,4
110100,1224,3.6664e-07,4
110125,1224,5.09465e-07,4
110150,1224,7.04478e-07,4
110175,1224,9.69421e-07,4
110200,1224,1.32759e-06,4
110225,1224,1.80939e-06,4
110250,1224,2.45433e-06,4
110275,1224,3.31343e-06,4
110300,1224,4.45226e-06,4
110325,1224,5.95463e-06,3.99999
110350,1224,7.92706e-06,3.99999
110375,1224,1.05043e-05,3.99999
110400,1224,1.38557e-05,3.99999
110425,1224,1.81933e-05,3.99998
110450,1224,2.37808e-05,3.99998
110475,1224,3.09447e-05,3.99997
110500,1224,4.00868e-05,3.99996
110525,1224,5.1699e-05,3.99995
110550,1224,6.63804e-05,3.99993
110575,1224,8.48562e-05,3.99992
110600,1224,0.000108,3.99989
110625,1224,0.000136856,3.99986
110650,1224,0.00017267,3.99983
110675,1224,0.000216915,3.99978
110700,1224,0.000271322,3.99973
110725,1224,0.000337917,3.99966
110750,1224,0.000419052,3.99958
110775,1224,0.000517443,3.99948
110800,1224,0.000636203,3.99936
110825,1224,0.000778875,3.99922
110850,1224,0.000949464,3.99905
110875,1224,0.00115246,3.99885
110900,1224,0.00139287,3.99861
110925,1224,0.0016762,3.99832
110950,1224,0.00200848,3.99799
110975,1224,0.00239624,3.9976
111000,1224,0.00284647,3.99715
111025,1224,0.00336661,3.99663
111050,1224,0.0039644,3.99604
111075,1224,0.00464786,3.99535
111100,1224,0.00542517,3.99457
111125,1224,0.00630448,3.9937
111150,1224,0.0072938,3.99271
111175,1224,0.00840078,3.9916
111200,1224,0.00963258,3.99037
111225,1224,0.0109956,3.989
111250,1224,0.0124953,3.9875
111275,1224,0.014136,3.98586
111300,1224,0.0159208,3.98408
111325,1224,0.0178511,3.98215
111350,1224,0.019927,3.98007
111375,1224,0.0221468,3.97785
111400,1224,0.024507,3.97549
111425,1224,0.0270026,3.973
111450,1224,0.0296268,3.97037
111475,1224,0.0323714,3.96763
111500,1224,0.0352268,3.96477
111525,1224,0.0381826,3.96182
111550,1224,0.0412272,3.95877
111575,1224,0.0443485,3.95565
111600,1224,0.0475342,3.95247
111625,1224,0.0507717,3.94923
111650,1224,0.0540489,3.94595
111675,1224,0.0573538,3.94265
111700,1224,0.0606751,3.93932
111725,1224,0.0640025,3.936
111750,1224,0.0673262,3.93267
111775,1224,0.0706375,3.92936
111800,1224,0.0739288,3.92607
