"K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.2143e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.576,0.025,0.576,0.05
2.2076e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.579,0.025,0.579,0.05
2.201e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.582,0.025,0.582,0.05
2.1944e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.585,0.025,0.585,0.05
2.1878e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.588,0.025,0.588,0.05
2.1812e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.591,0.025,0.591,0.05
2.1746e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.594,0.025,0.594,0.05
2.168e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.597,0.025,0.597,0.05
2.1614e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.6,0.025,0.6,0.05
2.1579e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.603,0.025,0.603,0.05
2.1545e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.606,0.025,0.606,0.05
2.151e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.609,0.025,0.609,0.05
2.1475e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.612,0.025,0.612,0.05
2.1441e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.615,0.025,0.615,0.05
2.1406e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.618,0.025,0.618,0.05
2.1372e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.621,0.025,0.621,0.05
2.1337e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.624,0.025,0.624,0.05
2.1303e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.627,0.025,0.627,0.05
2.1268e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.63,0.025,0.63,0.05
2.1234e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.633,0.025,0.633,0.05
2.1199e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.636,0.025,0.636,0.05
2.1165e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.639,0.025,0.639,0.05
2.113e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.642,0.025,0.642,0.05
2.1096e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.645,0.025,0.645,0.05
2.1061e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.648,0.025,0.648,0.05
2.106e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.651,0.025,0.651,0.05
2.1125e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.654,0.025,0.654,0.05
2.1191e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.657,0.025,0.657,0.05
2.1256e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.66,0.025,0.66,0.05
2.1322e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.663,0.025,0.663,0.05
2.1387e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.666,0.025,0.666,0.05
2.1453e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.669,0.025,0.669,0.05
2.1518e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.672,0.025,0.672,0.05
2.1584e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.675,0.025,0.675,0.05
2.1649e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.678,0.025,0.678,0.05
2.1715e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.681,0.025,0.681,0.05
2.178e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.684,0.025,0.684,0.05
2.1846e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.687,0.025,0.687,0.05
