So,Sw,Sg,Cs,MRF,xD
0.227826,0.353606,0.418567,0.0233704,10.0,0.23423423423423423
0.229079,0.352741,0.41818,0.0221083,10.0,0.23523523523523523
0.230495,0.351761,0.417743,0.0208618,10.0,0.2362362362362362
0.23213,0.350629,0.417241,0.0196357,10.0,0.23723723723723722
0.234064,0.349286,0.41665,0.0184345,10.0,0.23823823823823823
0.236423,0.347644,0.415933,0.0172621,10.0,0.23923923923923923
0.239414,0.345556,0.41503,0.0161219,10.0,0.24024024024024024
0.243398,0.342762,0.41384,0.0150161,10.0,0.24124124124124124
0.249071,0.338759,0.412171,0.0139458,10.0,0.24224224224224222
0.257954,0.332423,0.409623,0.0129093,10.0,0.24324324324324323
0.274114,0.320654,0.405233,0.0118989,10.0,0.24424424424424424
0.312487,0.29136,0.396152,0.0108831,10.0,0.2452452452452452
0.453377,0.230865,0.315758,0.00971373,1.0,0.24624624624624622
0.461192,0.223521,0.315287,0.00852979,1.0,0.24724724724724725
0.464488,0.220981,0.314531,0.00747245,1.0,0.24824824824824826
0.46537,0.221215,0.313415,0.00653625,1.0,0.24924924924924924
0.465788,0.222167,0.312045,0.00569798,1.0,0.2502502502502503
0.466446,0.222991,0.310563,0.00494679,1.0,0.25125125125125125
0.467274,0.223581,0.309145,0.00427709,1.0,0.25225225225225223
0.468011,0.223992,0.307997,0.00368352,1.0,0.25325325325325326
0.46845,0.224222,0.307328,0.00316023,1.0,0.25425425425425424
0.468486,0.224226,0.307288,0.00270126,1.0,0.2552552552552552
0.46813,0.223996,0.307874,0.00230076,1.0,0.25625625625625625
0.467514,0.223605,0.308881,0.00195308,1.0,0.25725725725725723
0.466854,0.223185,0.309961,0.00165263,1.0,0.25825825825825827
0.466348,0.222861,0.310791,0.00139399,1.0,0.25925925925925924
0.466094,0.222696,0.31121,0.00117207,1.0,0.2602602602602603
0.466083,0.222685,0.311233,0.0009822,1.0,0.26126126126126126
0.466245,0.222784,0.310972,0.000820249,1.0,0.26226226226226224
0.466498,0.22294,0.310562,0.000682566,1.0,0.26326326326326327
0.466769,0.22311,0.310121,0.000565941,1.0,0.26426426426426425
0.467005,0.223258,0.309737,0.000467535,1.0,0.2652652652652653
0.467171,0.223361,0.309468,0.00038484,1.0,0.26626626626626626
0.467248,0.22341,0.309342,0.000315634,1.0,0.26726726726726724
