So,Sw,Sg,Cs,MRF,xD
0.467001,0.223091,0.309908,6.68438e-07,1.0,0.33633633633633636
0.467003,0.223089,0.309909,6.28795e-07,1.0,0.33733733733733734
0.467004,0.223086,0.30991,5.91577e-07,1.0,0.3383383383383384
0.467005,0.223084,0.309911,5.5663e-07,1.0,0.33933933933933935
0.467007,0.223082,0.309912,5.23809e-07,1.0,0.34034034034034033
0.467008,0.22308,0.309912,4.92982e-07,1.0,0.34134134134134136
0.467009,0.223078,0.309913,4.64021e-07,1.0,0.34234234234234234
0.467011,0.223076,0.309913,4.36811e-07,1.0,0.3433433433433433
0.467012,0.223074,0.309914,4.11242e-07,1.0,0.34434434434434436
0.467014,0.223072,0.309914,3.87211e-07,1.0,0.34534534534534533
0.467015,0.22307,0.309914,3.64624e-07,1.0,0.3463463463463463
0.467017,0.223069,0.309914,3.43389e-07,1.0,0.34734734734734735
0.467019,0.223067,0.309914,3.23424e-07,1.0,0.3483483483483483
0.467021,0.223066,0.309914,3.0465e-07,1.0,0.3493493493493493
0.467023,0.223064,0.309913,2.86994e-07,1.0,0.35035035035035034
0.467025,0.223063,0.309913,2.70387e-07,1.0,0.3513513513513513
0.467027,0.223061,0.309912,2.54765e-07,1.0,0.35235235235235235
0.467029,0.22306,0.309911,2.40068e-07,1.0,0.3533533533533534
0.467031,0.223058,0.309911,2.2624e-07,1.0,0.35435435435435436
0.467034,0.223057,0.30991,2.13227e-07,1.0,0.35535535535535534
0.467036,0.223055,0.309909,2.00981e-07,1.0,0.3563563563563564
0.467038,0.223054,0.309908,1.89454e-07,1.0,0.35735735735735735
0.467041,0.223052,0.309907,1.78603e-07,1.0,0.35835835835835833
0.467043,0.22305,0.309907,1.68388e-07,1.0,0.35935935935935936
0.467045,0.223049,0.309906,1.58771e-07,1.0,0.36036036036036034
0.467047,0.223047,0.309905,1.49715e-07,1.0,0.3613613613613613
0.46705,0.223045,0.309905,1.41186e-07,1.0,0.36236236236236236
0.467052,0.223044,0.309905,1.33154e-07,1.0,0.36336336336336333
0.467054,0.223042,0.309904,1.25589e-07,1.0,0.3643643643643643
0.467056,0.22304,0.309904,1.18462e-07,1.0,0.36536536536536535
0.467058,0.223038,0.309904,1.11748e-07,1.0,0.3663663663663663
0.467061,0.223036,0.309904,1.05422e-07,1.0,0.3673673673673673
0.467063,0.223034,0.309904,9.94621e-08,1.0,0.3683683683683684
0.467065,0.223032,0.309904,9.38455e-08,1.0,0.36936936936936937
0.467067,0.22303,0.309904,8.85523e-08,1.0,0.37037037037037035
0.467069,0.223027,0.309904,8.35635e-08,1.0,0.3713713713713714
0.467071,0.223025,0.309904,7.88611e-08,1.0,0.37237237237237236
0.467073,0.223023,0.309904,7.44283e-08,1.0,0.37337337337337334
0.467075,0.223021,0.309905,7.02493e-08,1.0,0.3743743743743744
0.467077,0.223018,0.309905,6.63094e-08,1.0,0.37537537537537535
