Time,"Fa","Fb","Fc","Foil","Fshear","K","Nca","Sa","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.4275,1e-08,0.8,0.056572,0.056572,0,0,0,0,0.056572,0.056572,0,1.0408e-17,1.0408e-17,0,1,0,1,2.2205e-16,1.6416e+13,1,9.8995,7,7,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.3947,1e-08,0.8,0.055789,0.055789,0,0,0,0,0.055789,0.055789,0,1.0564e-17,1.0721e-17,0,1,0,1,2.2205e-16,1.6302e+13,1,10.041,7.1,7.1,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.3625,1e-08,0.8,0.055024,0.055024,0,0,0,0,0.055024,0.055024,0,1.0686e-17,1.0963e-17,0,1,0,1,2.2205e-16,1.6189e+13,1,10.182,7.2,7.2,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.3309,1e-08,0.8,0.054277,0.054277,0,0,0,0,0.054277,0.054277,0,1.0773e-17,1.1137e-17,0,1,0,1,2.2205e-16,1.6078e+13,1,10.324,7.3,7.3,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.2998,1e-08,0.8,0.053548,0.053548,0,0,0,0,0.053548,0.053548,0,1.0825e-17,1.1241e-17,0,1,0,1,2.2205e-16,1.5969e+13,1,10.465,7.4,7.4,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.2694,1e-08,0.8,0.052837,0.052837,0,0,0,0,0.052837,0.052837,0,1.0842e-17,1.1276e-17,0,1,0,1,2.2205e-16,1.586e+13,1,10.607,7.5,7.5,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.2395,1e-08,0.8,0.052145,0.052145,0,0,0,0,0.052145,0.052145,0,1.0825e-17,1.1241e-17,0,1,0,1,2.2205e-16,1.5754e+13,1,10.748,7.6,7.6,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.2102,1e-08,0.8,0.051471,0.051471,0,0,0,0,0.051471,0.051471,0,1.0773e-17,1.1137e-17,0,1,0,1,2.2205e-16,1.5648e+13,1,10.889,7.7,7.7,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.1815,1e-08,0.8,0.050816,0.050816,0,0,0,0,0.050816,0.050816,0,1.0686e-17,1.0963e-17,0,1,0,1,2.2205e-16,1.5544e+13,1,11.031,7.8,7.8,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.1534,1e-08,0.8,0.050178,0.050178,0,0,0,0,0.050178,0.050178,0,1.0564e-17,1.0721e-17,0,1,0,1,2.2205e-16,1.5442e+13,1,11.172,7.9,7.9,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.1259,1e-08,0.8,0.049559,0.049559,0,0,0,0,0.049559,0.049559,0,1.0408e-17,1.0408e-17,0,1,0,1,2.2205e-16,1.5341e+13,1,11.314,8,8,10
10000,0,1,2.7846e-13,1,1,9.8692e-14,2.1006,1e-08,0.8,0.048955,0.048955,0,0,0,0,0.048955,0.048955,0,5.8236e-15,5.8235e-15,0,1,0,1,2.7846e-13,1.5241e+13,1,11.455,8.1,8.1,10
10000,0,1,1.1131e-12,1,1,9.8692e-14,2.0757,1e-08,0.8,0.048364,0.048364,0,0,0,0,0.048364,0.048364,0,2.3263e-14,2.3262e-14,0,1,0,1,1.1131e-12,1.5142e+13,1,11.597,8.2,8.2,10
10000,0,1,2.5043e-12,1,1,9.8692e-14,2.0512,1e-08,0.8,0.047786,0.047786,0,0,0,0,0.047786,0.047786,0,5.2328e-14,5.2328e-14,0,1,0,1,2.5043e-12,1.5044e+13,1,11.738,8.3,8.3,10
10000,0,1,4.4519e-12,1,1,9.8692e-14,2.0271,1e-08,0.8,0.04722,0.04722,0,0,0,0,0.04722,0.04722,0,9.3019e-14,9.3019e-14,0,1,0,1,4.4519e-12,1.4948e+13,1,11.879,8.4,8.4,10
10000,0,1,6.956e-12,1,1,9.8692e-14,2.0034,1e-08,0.8,0.046667,0.046667,0,0,0,0,0.046667,0.046667,0,1.4534e-13,1.4534e-13,0,1,0,1,6.956e-12,1.4852e+13,1,12.021,8.5,8.5,10
10000,0,1,1.0017e-11,1,1,9.8692e-14,1.9801,1e-08,0.8,0.046127,0.046127,0,0,0,0,0.046127,0.046127,0,2.0928e-13,2.0928e-13,0,1,0,1,1.0017e-11,1.4758e+13,1,12.162,8.6,8.6,10
10000,0,1,1.3634e-11,1,1,9.8692e-14,1.9572,1e-08,0.8,0.045599,0.045599,0,0,0,0,0.045599,0.045599,0,2.8485e-13,2.8485e-13,0,1,0,1,1.3634e-11,1.4665e+13,1,12.304,8.7,8.7,10
10000,0,1,1.7807e-11,1,1,9.8692e-14,1.9347,1e-08,0.8,0.045084,0.045084,0,0,0,0,0.045084,0.045084,0,3.7204e-13,3.7204e-13,0,1,0,1,1.7807e-11,1.4572e+13,1,12.445,8.8,8.8,10
10000,0,1,2.2537e-11,1,1,9.8692e-14,1.9126,1e-08,0.8,0.044581,0.044581,0,0,0,0,0.044581,0.044581,0,4.7087e-13,4.7087e-13,0,1,0,1,2.2537e-11,1.4481e+13,1,12.587,8.9,8.9,10
10000,0,1,2.7823e-11,1,1,9.8692e-14,1.891,1e-08,0.8,0.044091,0.044091,0,0,0,0,0.044091,0.044091,0,5.8131e-13,5.8131e-13,0,1,0,1,2.7823e-11,1.4392e+13,1,12.728,9,9,10
10000,0,1,6.5623e-11,1,1,9.8692e-14,1.8709,1e-08,0.8,0.043612,0.043612,0,0,0,0,0.043612,0.043612,0,1.4577e-12,1.4577e-12,0,1,0,1,6.5623e-11,1.4303e+13,1,12.869,9.1,9.1,10
10000,0,1,1.0949e-10,1,1,9.8692e-14,1.851,1e-08,0.8,0.043142,0.043142,0,0,0,0,0.043142,0.043142,0,2.5049e-12,2.5049e-12,0,1,0,1,1.0949e-10,1.4215e+13,1,13.011,9.2,9.2,10
10000,0,1,1.5944e-10,1,1,9.8692e-14,1.8315,1e-08,0.8,0.042682,0.042682,0,0,0,0,0.042682,0.042682,0,3.7231e-12,3.7231e-12,0,1,0,1,1.5944e-10,1.4127e+13,1,13.152,9.3,9.3,10
10000,0,1,2.1545e-10,1,1,9.8692e-14,1.8122,1e-08,0.8,0.04223,0.04223,0,0,0,0,0.04223,0.04223,0,5.1122e-12,5.1121e-12,0,1,0,1,2.1545e-10,1.4041e+13,1,13.294,9.4,9.4,10
10000,0,1,2.7754e-10,1,1,9.8692e-14,1.7933,1e-08,0.8,0.041787,0.041787,0,0,0,0,0.041787,0.041787,0,6.6722e-12,6.6721e-12,0,1,0,1,2.7754e-10,1.3956e+13,1,13.435,9.5,9.5,10
10000,0,1,3.457e-10,1,1,9.8692e-14,1.7746,1e-08,0.8,0.041354,0.041354,0,0,0,0,0.041354,0.041354,0,8.4031e-12,8.403e-12,0,1,0,1,3.457e-10,1.3871e+13,1,13.576,9.6,9.6,10
10000,0,1,4.1993e-10,1,1,9.8692e-14,1.7562,1e-08,0.8,0.040929,0.040929,0,0,0,0,0.040929,0.040929,0,1.0305e-11,1.0305e-11,0,1,0,1,4.1993e-10,1.3788e+13,1,13.718,9.7,9.7,10
10000,0,1,5.0023e-10,1,1,9.8692e-14,1.7381,1e-08,0.8,0.040514,0.040514,0,0,0,0,0.040514,0.040514,0,1.2378e-11,1.2378e-11,0,1,0,1,5.0023e-10,1.3705e+13,1,13.859,9.8,9.8,10
10000,0,1,5.8661e-10,1,1,9.8692e-14,1.7203,1e-08,0.8,0.040108,0.040108,0,0,0,0,0.040108,0.040108,0,1.4621e-11,1.4621e-11,0,1,0,1,5.8661e-10,1.3623e+13,1,14.001,9.9,9.9,10
10000,0,1,6.7905e-10,1,1,9.8692e-14,1.7029,1e-08,0.8,0.039711,0.039711,0,0,0,0,0.039711,0.039711,0,1.7036e-11,1.7036e-11,0,1,0,1,6.7905e-10,1.3542e+13,1,14.142,10,10,10
10000,0,1,8.2105e-10,1,1,9.8692e-14,1.6865,1e-08,0.8,0.039321,0.039321,0,0,0,0,0.039321,0.039321,0,2.126e-11,2.1259e-11,0,1,0,1,8.2105e-10,1.3462e+13,1,14.284,10.1,10.1,10
10000,0,1,9.6686e-10,1,1,9.8692e-14,1.6703,1e-08,0.8,0.038939,0.038939,0,0,0,0,0.038939,0.038939,0,2.5616e-11,2.5616e-11,0,1,0,1,9.6686e-10,1.3383e+13,1,14.425,10.2,10.2,10
10000,0,1,1.1165e-09,1,1,9.8692e-14,1.6544,1e-08,0.8,0.038563,0.038563,0,0,0,0,0.038563,0.038563,0,3.0104e-11,3.0104e-11,0,1,0,1,1.1165e-09,1.3304e+13,1,14.566,10.3,10.3,10
